"icon-asset","icon-name"
"description","Description"
"content_copy","Content Copy"
"dashboard","Dashboard"
"edit_note","Edit Note"
"menu_book","Menu Book"
"grid_view","Grid View"
"list","List"
"folder","Folder"
"list_alt","List Alt"
"inventory","Inventory"
"folder_open","Folder Open"
"article","Article"
"fact_check","Fact Check"
"attach_file","Attach File"
"format_list_bulleted","Format List Bulleted"
"assignment","Assignment"
"task","Task"
"checklist","Checklist"
"cloud_upload","Cloud Upload"
"draft","Draft"
"summarize","Summarize"
"cloud","Cloud"
"draw","Draw"
"feed","Feed"
"newspaper","Newspaper"
"file_copy","File Copy"
"view_list","View List"
"note_add","Note Add"
"border_color","Border Color"
"book","Book"
"design_services","Design Services"
"history_edu","History Edu"
"pending_actions","Pending Actions"
"format_quote","Format Quote"
"post_add","Post Add"
"request_quote","Request Quote"
"cloud_download","Cloud Download"
"drag_handle","Drag Handle"
"table","Table"
"contact_page","Contact Page"
"archive","Archive"
"space_dashboard","Space Dashboard"
"content_paste","Content Paste"
"percent","Percent"
"attachment","Attachment"
"assignment_ind","Assignment Ind"
"format_list_numbered","Format List Numbered"
"assignment_turned_in","Assignment Turned In"
"tag","Tag"
"table_chart","Table Chart"
"sticky_note_2","Sticky Note 2"
"text_fields","Text Fields"
"dashboard_customize","Dashboard Customize"
"format_bold","Format Bold"
"integration_instructions","Integration Instructions"
"reorder","Reorder"
"find_in_page","Find In Page"
"note","Note"
"text_snippet","Text Snippet"
"document_scanner","Document Scanner"
"checklist_rtl","Checklist Rtl"
"note_alt","Note Alt"
"edit_document","Edit Document"
"cloud_sync","Cloud Sync"
"table_rows","Table Rows"
"perm_media","Perm Media"
"cloud_done","Cloud Done"
"title","Title"
"table_view","Table View"
"content_cut","Content Cut"
"data_object","Data Object"
"notes","Notes"
"cut","Cut"
"subject","Subject"
"functions","Functions"
"format_italic","Format Italic"
"content_paste_search","Content Paste Search"
"format_color_fill","Format Color Fill"
"folder_shared","Folder Shared"
"plagiarism","Plagiarism"
"horizontal_rule","Horizontal Rule"
"file_present","File Present"
"folder_copy","Folder Copy"
"cloud_off","Cloud Off"
"format_paint","Format Paint"
"ballot","Ballot"
"team_dashboard","Team Dashboard"
"format_align_left","Format Align Left"
"view_column","View Column"
"add_link","Add Link"
"difference","Difference"
"read_more","Read More"
"view_agenda","View Agenda"
"format_size","Format Size"
"format_underlined","Format Underlined"
"vertical_align_top","Vertical Align Top"
"toc","Toc"
"height","Height"
"vertical_align_bottom","Vertical Align Bottom"
"view_week","View Week"
"copy_all","Copy All"
"drive_folder_upload","Drive Folder Upload"
"assignment_late","Assignment Late"
"format_color_text","Format Color Text"
"low_priority","Low Priority"
"drive_file_move","Drive File Move"
"view_module","View Module"
"assignment_return","Assignment Return"
"folder_special","Folder Special"
"segment","Segment"
"format_align_center","Format Align Center"
"square","Square"
"calendar_view_month","Calendar View Month"
"folder_zip","Folder Zip"
"polyline","Polyline"
"breaking_news_alt_1","Breaking News Alt 1"
"format_align_right","Format Align Right"
"grading","Grading"
"view_headline","View Headline"
"linear_scale","Linear Scale"
"edit_off","Edit Off"
"view_quilt","View Quilt"
"view_carousel","View Carousel"
"text_increase","Text Increase"
"request_page","Request Page"
"view_sidebar","View Sidebar"
"text_format","Text Format"
"pages","Pages"
"format_align_justify","Format Align Justify"
"calendar_view_week","Calendar View Week"
"numbers","Numbers"
"hexagon","Hexagon"
"docs_add_on","Docs Add On"
"folder_delete","Folder Delete"
"forms_add_on","Forms Add On"
"format_shapes","Format Shapes"
"imagesearch_roller","Imagesearch Roller"
"video_file","Video File"
"calendar_view_day","Calendar View Day"
"font_download","Font Download"
"format_list_numbered_rtl","Format List Numbered Rtl"
"add_to_drive","Add To Drive"
"join_inner","Join Inner"
"content_paste_go","Content Paste Go"
"restore_page","Restore Page"
"rectangle","Rectangle"
"format_color_reset","Format Color Reset"
"vertical_split","Vertical Split"
"rule_folder","Rule Folder"
"view_stream","View Stream"
"cloud_circle","Cloud Circle"
"format_indent_increase","Format Indent Increase"
"spellcheck","Spellcheck"
"data_array","Data Array"
"assignment_returned","Assignment Returned"
"align_horizontal_left","Align Horizontal Left"
"pivot_table_chart","Pivot Table Chart"
"text_decrease","Text Decrease"
"deselect","Deselect"
"vertical_align_center","Vertical Align Center"
"pentagon","Pentagon"
"merge_type","Merge Type"
"space_bar","Space Bar"
"short_text","Short Text"
"join_left","Join Left"
"format_strikethrough","Format Strikethrough"
"view_day","View Day"
"flip_to_front","Flip To Front"
"border_all","Border All"
"shape_line","Shape Line"
"format_line_spacing","Format Line Spacing"
"line_weight","Line Weight"
"horizontal_split","Horizontal Split"
"format_indent_decrease","Format Indent Decrease"
"join_right","Join Right"
"align_horizontal_center","Align Horizontal Center"
"subtitles_off","Subtitles Off"
"snippet_folder","Snippet Folder"
"align_vertical_bottom","Align Vertical Bottom"
"folder_off","Folder Off"
"glyphs","Glyphs"
"format_clear","Format Clear"
"align_horizontal_right","Align Horizontal Right"
"function","Function"
"vertical_distribute","Vertical Distribute"
"insert_page_break","Insert Page Break"
"content_paste_off","Content Paste Off"
"line_axis","Line Axis"
"superscript","Superscript"
"horizontal_distribute","Horizontal Distribute"
"line_style","Line Style"
"counter_1","Counter 1"
"flip_to_back","Flip To Back"
"align_vertical_center","Align Vertical Center"
"align_vertical_top","Align Vertical Top"
"margin","Margin"
"clarify","Clarify"
"subscript","Subscript"
"wrap_text","Wrap Text"
"view_array","View Array"
"ink_pen","Ink Pen"
"ink_eraser","Ink Eraser"
"border_style","Border Style"
"border_clear","Border Clear"
"amp_stories","Amp Stories"
"border_outer","Border Outer"
"newsmode","Newsmode"
"type_specimen","Type Specimen"
"padding","Padding"
"text_rotate_vertical","Text Rotate Vertical"
"forms_apps_script","Forms Apps Script"
"border_vertical","Border Vertical"
"text_rotation_none","Text Rotation None"
"ink_highlighter","Ink Highlighter"
"format_textdirection_l_to_r","Format Textdirection L To R"
"docs_apps_script","Docs Apps Script"
"format_overline","Format Overline"
"finance_chip","Finance Chip"
"border_horizontal","Border Horizontal"
"font_download_off","Font Download Off"
"format_textdirection_r_to_l","Format Textdirection R To L"
"news","News"
"text_rotation_angleup","Text Rotation Angleup"
"border_bottom","Border Bottom"
"text_rotation_down","Text Rotation Down"
"assignment_add","Assignment Add"
"border_inner","Border Inner"
"border_left","Border Left"
"border_top","Border Top"
"equal","Equal"
"text_rotation_angledown","Text Rotation Angledown"
"note_stack","Note Stack"
"frame_inspect","Frame Inspect"
"text_rotate_up","Text Rotate Up"
"format_h1","Format H1"
"border_right","Border Right"
"note_stack_add","Note Stack Add"
"join","Join"
"counter_2","Counter 2"
"overview","Overview"
"view_column_2","View Column 2"
"export_notes","Export Notes"
"signature","Signature"
"full_coverage","Full Coverage"
"colors","Colors"
"breaking_news","Breaking News"
"slide_library","Slide Library"
"counter_3","Counter 3"
"format_underlined_squiggle","Format Underlined Squiggle"
"width","Width"
"format_h2","Format H2"
"lab_profile","Lab Profile"
"format_list_bulleted_add","Format List Bulleted Add"
"format_paragraph","Format Paragraph"
