"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"Donation History","Comment","Amount"
"21 February 2024","It works...Well","$5.00 USD"
"21 February 2024","(Second donation) Most versatile, easy to use and well designed file search program ever created. Using it 100 times a day. Am even indexing S3 buckets by creating efu files for them :)","$15.00 USD"
"21 February 2024","David, thank you! File Explorer sucks and bewildered why it can't be more like Everything. Thanks!","$10.00 USD"
"20 February 2024","Thank you for ""Everything"" :)","€5.00 EUR"
"20 February 2024","Love the speed and convenience. ""Can't live without it"" says by 17,000 files","$32.65 USD"
"20 February 2024","","$20.00 USD"
"19 February 2024","","$10.00 USD"
"19 February 2024","Thanks, Top Software..","$20.00 USD"
"18 February 2024","I use Search Everything every day for both work and personal use. I recommend it to everyone. Thank you so much for creating such a useful tool.","$50.00 USD"
"18 February 2024","","$15.00 USD"
"18 February 2024","","$1.00 USD"
"18 February 2024","","$12.00 USD"
"18 February 2024","Thank you David for your helpful program. Microsoft coulg go to hide himself with his Explorer","$10.00 USD"
"18 February 2024","Thanks for the app. Exactly what I needed for a one time use home project.","$5.00 USD"
"17 February 2024","","$5.00 USD"
"17 February 2024","","$5.00 USD"
"17 February 2024","","€10.00 EUR"
"17 February 2024","Thank you David for Everything","$20.00 USD"
"17 February 2024","Thank you for this very helpful program! Tschüß - Thomas","€10.00 EUR"
"17 February 2024","","$10.00 USD"
"17 February 2024","","£5.00 GBP"
"17 February 2024","","€1.00 EUR"
"16 February 2024","","€10.00 EUR"
"16 February 2024","","$20.00 USD"
"16 February 2024","Very helpful, thanks.","$30.00 USD"
"16 February 2024","","$2.00 USD"
"15 February 2024","Awesome software, goat-tier-dev!","€3.00 EUR"
"15 February 2024","","$10.00 USD"
"15 February 2024","Sometimes I just sit here in awe at the crazy amount of features this program has. It's terrifyingly useful.","$100.00 USD"
"14 February 2024","","$10.00 USD"
"14 February 2024","I love Everything! It has saved me many, many times. Thanks for creating such a terrific tool. Bravo!","$50.00 USD"
"14 February 2024","","$3.00 USD"
"14 February 2024","","$1.00 USD"
"14 February 2024","","$1.00 USD"
"14 February 2024","","$188.00 USD"
"14 February 2024","","$1.00 USD"
"14 February 2024","","$1.00 USD"
"14 February 2024","","$10.00 USD"
"14 February 2024","","€10.00 EUR"
"13 February 2024","Worth every penny. Should be built into Windows.","$40.00 USD"
"13 February 2024","Thank you so much for programming this amazing tool.","$100.00 USD"
"13 February 2024","","$25.00 USD"
"13 February 2024","I 🧡 it => Congratuations! EVERY operation system should have such a search function instead of the lame win search! Please offer it to LINUX distributors and Microsoft!","$100.00 USD"
"13 February 2024","","$5.00 USD"
"13 February 2024","Grazie infinite per questo strumento incredibile! 😀 Un saluto dall'Italia!","€5.00 EUR"
"12 February 2024","Awesum Tool","$20.00 USD"
"12 February 2024","Learned also about Everything when installing the new Directory Opus version 13, and it's great! Keep up the good work!","$10.00 USD"
"12 February 2024","","$1.00 USD"
"11 February 2024","grazie!!!!!!!!!!!!!!!!!!!!!!!!!","$3.00 USD"
"10 February 2024","","$3.69 USD"
"10 February 2024","","$5.00 USD"
"10 February 2024","I just learned about ""Everything"" while setting up my ""Directory Opus"" software. I was able to instantaneously find files that had been misplaced for years! Thank you very for the magic!","$20.00 USD"
"10 February 2024","","€5.00 EUR"
"10 February 2024","Very great utilities that every user must have!","$12.00 USD"
"10 February 2024","","$2.00 USD"
"10 February 2024","","$10.00 USD"
"9 February 2024","언제나 잘쓰고 있습니다~","$10.00 USD"
"9 February 2024","Fantasic software development!","$10.00 USD"
"8 February 2024","Thank you for this great tool. Please accept this small donation David.","€5.00 EUR"
"8 February 2024","Great app. thank you. Wish I could give more","$10.00 USD"
"8 February 2024","","€10.00 EUR"
"7 February 2024","Everything is just amazing...life was difficult with so much of hard disks around otherwise !","$10.00 USD"
"7 February 2024","Amazing tool! I wish all software was built to this standard! Feature request: double clicking the Path to open it in explorer. Would streamline flow even more!","$20.00 USD"
"7 February 2024","","$20.00 USD"
"7 February 2024","","₪20.00 ILS"
"6 February 2024","Thank you!","$10.00 USD"
"6 February 2024","Thank you very much, David! Especially for the new powerful full text search in the Alpha version. :)","$20.00 USD"
"6 February 2024","Thank you for your good job!!!","$20.00 USD"
"5 February 2024","Please Hang in there! Everything is Good!","$5.00 USD"
"5 February 2024","Using Everything ""as usual"" & thought, ""oh yeah, I havent updated in a while"". So updated. Then thought ""Everything is one of my favorite, most used, most useful apps"". Just want to show some love :)","$10.00 USD"
"5 February 2024","Thank You Very Much!","$20.00 USD"
"5 February 2024","","$30.00 USD"
"4 February 2024","","$20.00 USD"
"4 February 2024","","$7.00 USD"
"2 February 2024","","£2.00 GBP"
"2 February 2024","","$20.00 USD"
"2 February 2024","Seriously a fantastic tool! So much faster than Windows Search and the grainular searches save so much time. When you have decades of files you want to search through this tool is the only one that I have used that just works. Thank you making/maintaining","$50.00 USD"
"2 February 2024","Thanks for this great tool!","€20.00 EUR"
"2 February 2024","","$20.00 CAD"
"1 February 2024","","$30.00 USD"
"1 February 2024","Everything is a brilliant tool. I've been using for years on Windows and hope to continue for many more.","£20.00 GBP"
